franchise
ATL
BAL
BOS
ANA
CHW
CHC
CIN
CLE
DET
HOU
KCR
LAD
MIN
MIL
WSN
NYY
NYM
OAK
PHI
PIT
SDP
SEA
SFG
STL
TEX
TOR
COL
FLA
ARI
TBD
