teamID,franchID,team_name,games_played,home_games_played,yearID,season_rank,wins,losses,home_park,attendance,home_runs,runs_scored,division_winner,wild_card_winner,league_winner,world_series_winner,att_per_game
NYA,NYY,New York Yankees,162,81,2019,1,103,59,Yankee Stadium III,3304404,306,943,Y,N,N,N,40795.11111111111
NYN,NYM,New York Mets,162,81,2019,3,86,76,Citi Field,2442532,242,791,N,N,N,N,30154.71604938272
OAK,OAK,Oakland Athletics,162,81,2019,2,97,65,O.co Coliseum,1662211,257,845,N,Y,N,N,20521.123456790123
PHI,PHI,Philadelphia Phillies,162,81,2019,4,81,81,Citizens Bank Park,2727421,215,774,N,N,N,N,33671.864197530864
PIT,PIT,Pittsburgh Pirates,162,81,2019,5,69,93,PNC Park,1491439,163,758,N,N,N,N,18412.827160493827
SDN,SDP,San Diego Padres,162,81,2019,5,70,92,Petco Park,2396399,219,682,N,N,N,N,29585.172839506173
SEA,SEA,Seattle Mariners,162,81,2019,5,68,94,T-Mobile Park,1791863,239,758,N,N,N,N,22121.765432098764
SFN,SFG,San Francisco Giants,162,81,2019,3,77,85,Oracle Park,2707760,167,678,N,N,N,N,33429.135802469136
SLN,STL,St. Louis Cardinals,162,81,2019,1,91,71,Busch Stadium III,3480393,210,764,Y,N,N,N,42967.81481481482
TBA,TBD,Tampa Bay Rays,162,81,2019,2,96,66,Tropicana Field,1178735,217,769,N,Y,N,N,14552.283950617284
TEX,TEX,Texas Rangers,162,81,2019,3,78,84,Globe Life Park in Arlington,2132994,223,810,N,N,N,N,26333.25925925926
TOR,TOR,Toronto Blue Jays,162,81,2019,4,67,95,Rogers Centre,1750114,247,726,N,N,N,N,21606.345679012345
WAS,WSN,Washington Nationals,162,81,2019,2,93,69,Nationals Park,2259781,231,873,N,Y,Y,Y,27898.53086419753
ARI,ARI,Arizona Diamondbacks,162,81,2021,5,52,110,Chase Field,1043010,144,679,N,N,N,N,12876.666666666666
ATL,ATL,Atlanta Braves,161,80,2021,1,88,73,SunTrust Park,2300247,239,790,Y,N,Y,Y,28753.0875
BAL,BAL,Baltimore Orioles,162,81,2021,5,52,110,Oriole Park at Camden Yards,793229,195,659,N,N,N,N,9792.95061728395
BOS,BOS,Boston Red Sox,162,81,2021,2,92,70,Fenway Park II,1725323,219,829,N,Y,N,N,21300.28395061728
CHA,CHW,Chicago White Sox,162,81,2021,1,93,69,Guaranteed Rate Field,1596385,190,796,Y,N,N,N,19708.45679012345
CHN,CHC,Chicago Cubs,162,81,2021,4,71,91,Wrigley Field,1978934,210,705,N,N,N,N,24431.28395061728
CIN,CIN,Cincinnati Reds,162,81,2021,3,83,79,Great American Ball Park,1505024,222,786,N,N,N,N,18580.543209876545
CLE,CLE,Cleveland Indians,162,81,2021,2,80,82,Progressive Field,1114368,203,717,N,N,N,N,13757.62962962963
COL,COL,Colorado Rockies,161,81,2021,4,74,87,Coors Field,1938645,182,739,N,N,N,N,23933.88888888889
DET,DET,Detroit Tigers,162,81,2021,3,77,85,Comerica Park,1102621,179,697,N,N,N,N,13612.604938271605
HOU,HOU,Houston Astros,162,81,2021,1,95,67,Minute Maid Park,2068509,221,863,Y,N,Y,N,25537.14814814815
KCA,KCR,Kansas City Royals,162,81,2021,4,74,88,Kauffman Stadium,1159613,163,686,N,N,N,N,14316.20987654321
LAA,ANA,Los Angeles Angels of Anaheim,162,82,2021,4,77,85,Angel Stadium of Anaheim,1515689,190,723,N,N,N,N,18484.01219512195
LAN,LAD,Los Angeles Dodgers,162,81,2021,2,106,56,Dodger Stadium,2804693,237,830,N,Y,N,N,34625.83950617284
MIA,FLA,Miami Marlins,162,81,2021,4,67,95,Marlins Park,642617,158,623,N,N,N,N,7933.543209876543
MIL,MIL,Milwaukee Brewers,162,81,2021,1,95,67,Miller Park,1824282,194,738,Y,N,N,N,22522.0
MIN,MIN,Minnesota Twins,162,81,2021,5,73,89,Target Field,1310199,228,729,N,N,N,N,16175.296296296296
NYA,NYY,New York Yankees,162,81,2021,2,92,70,Yankee Stadium III,1959854,222,711,N,Y,N,N,24195.728395061727
NYN,NYM,New York Mets,162,81,2021,3,77,85,Citi Field,1511926,176,636,N,N,N,N,18665.753086419754
OAK,OAK,Oakland Athletics,162,81,2021,3,86,76,O.co Coliseum,701430,199,743,N,N,N,N,8659.62962962963
PHI,PHI,Philadelphia Phillies,162,81,2021,2,82,80,Citizens Bank Park,1515890,198,734,N,N,N,N,18714.69135802469
PIT,PIT,Pittsburgh Pirates,162,81,2021,5,61,101,PNC Park,859498,124,609,N,N,N,N,10611.086419753086
SDN,SDP,San Diego Padres,162,81,2021,3,79,83,Petco Park,2191950,180,729,N,N,N,N,27061.11111111111
SEA,SEA,Seattle Mariners,162,81,2021,2,90,72,T-Mobile Park,1215985,199,697,N,N,N,N,15012.16049382716
SFN,SFG,San Francisco Giants,162,81,2021,1,107,55,Oracle Park,1679484,241,804,Y,N,N,N,20734.37037037037
SLN,STL,St. Louis Cardinals,162,81,2021,2,90,72,Busch Stadium III,2102530,198,706,N,Y,N,N,25957.16049382716
TBA,TBD,Tampa Bay Rays,162,81,2021,1,100,62,Tropicana Field,761072,222,857,Y,N,N,N,9395.95061728395
TEX,TEX,Texas Rangers,162,81,2021,5,60,102,Globe Life Field,2110258,167,625,N,N,N,N,26052.567901234568
TOR,TOR,Toronto Blue Jays,162,80,2021,4,91,71,Sahlen Field,805901,262,846,N,N,N,N,10073.7625
WAS,WSN,Washington Nationals,162,81,2021,5,65,97,Nationals Park,1465543,182,724,N,N,N,N,18093.123456790123
