teamAbbrv
ATL
BAL
BOS
CAL
CHA
CHN
CIN
CLE
DET
HOU
KCA
LAN
MIN
ML4
MON
NYA
NYN
OAK
PHI
PIT
SDN
SEA
SFN
SLN
TEX
TOR
COL
FLO
ANA
ARI
MIL
TBA
LAA
WAS
MIA
